AverageTime,minimum,maximum,imagesize,vmType,noVMreq,CPUUtilization,MemoryUtilization,NetworkUtil
92.46,91.88,93.27,572.49,3,10,97.6885,53.78177147,97.086684
105.81,105.81,105.81,894.56,4,3,100.4852,63.99721084,0.0081624
11.9575,7.6,17.99,12.7,1,14,99.9917,45.17460453,0.001916
6.12,6.12,6.12,12.7,2,1,99.0567,30.92117484,0.0085976
101.51,101.51,101.51,894.56,4,1,99.9959,71.08780629,0.0017808
7.91,7.26,8.56,12.7,1,7,73.1535,60.88454614,0.0021176
7.15,6.23,8.07,12.7,2,6,99.8771,56.06560935,0.0026336
102.74,102.74,102.74,894.56,4,4,28.5298,6.225206364,0.001864
8.28,8.28,8.28,12.7,1,4,100.0749,67.81221067,0.0019744
12.93,10.86,14.28,12.7,2,11,28.049,68.38399439,0.002352
86.22,84.2,88.24,572.49,3,6,96.7109,27.90318823,98.4229504
105.85,105.85,105.85,894.56,4,2,100.198,52.53363495,0.0063592
11.25,10.74,11.76,12.7,1,8,99.9916,64.60988722,0.0019416
10.285,9.44,11.13,12.7,2,6,100.2853,47.35771163,0.0027976
81.32,81.32,81.32,572.49,3,5,97.6303,53.21845169,98.1074416
109.1,109.09,109.11,894.56,4,5,99.9521,34.19994444,0.0041704
15.2725,13.53,17.08,12.7,1,15,18.7791,9.502770342,0.002084
9.196666667,8.34,10.61,12.7,2,9,27.4506,11.92286788,0.0076832
15.48,15.48,15.48,12.7,1,1,87.5227,14.60955505,0.001784
10.95,10.95,10.95,12.7,2,4,100.0604,51.41125198,0.0026624
74.54,74.54,74.54,572.49,3,5,98.2653,51.52381751,49.00092
102.52,102.52,102.52,894.56,4,3,99.9834,30.02456266,0.0042032
19.928,13.21,23.4,12.7,1,18,27.577,11.85670641,0.0020216
11.23666667,5.88,15.62,12.7,2,11,41.2984,14.89887924,0.0149456
102.51,102.51,102.51,894.56,4,1,55.6499,5.397560563,0.0017272
6.71,6.71,6.71,12.7,1,1,99.9917,44.3863013,0.0019592
14.64333333,12.93,16.95,12.7,2,12,27.1728,45.00739242,0.002392
74.35,74.35,74.35,572.49,3,4,97.3532,31.97508353,48.4631752
108.71,108.71,108.71,894.56,4,4,99.7315,43.04631623,0.0038008
9.185,8.88,9.49,12.7,1,5,99.9916,21.68196779,0.0019088
10.90333333,9.16,11.98,12.7,2,10,100.1765,55.2875908,0.002732
102.01,102.01,102.01,894.56,4,2,99.9896,37.92235758,0.0018376
19.68,16.55,21.59,12.7,1,15,73.5252,41.12219598,0.0019968
